category,order_count,total_revenue
bed_bath_table,9417,1036988.68
health_beauty,8836,1258681.34
sports_leisure,7720,988048.97
computers_accessories,6689,911954.32
furniture_decor,6449,729762.49
housewares,5884,632248.66
watches_gifts,5624,1205005.68
telephony,4199,323667.53
auto,3897,592720.11
toys,3886,483946.60
